short_question,short_answer
how far in do i have to go in for an mri of spine,probably all of the way inside the chamber so if you are claustrophobic fear of small places please ask your doctor for some mild sedation before your procedure since i do not know the exact location of your problem on the spine i cannot be any more specific
what progesterone level is necessary to sustain a pregnancy,hi there is a link below you should find it has all the info you need the link <link> do hope it helps you good luck
i have fever several times a day with pressure in lower abdomen,hi i suggest first step urine test followed by urine culture if you are gram+ first we need to rule out kidney problem before taking another step good luck
we are not sure about my friend is diagnosis kindly help,one thing for sure is that he is having periodic hemolysis with adequate bone marrow response and he has a severe vitamin b12 deficiency his corrected rpi reticulocyte production index is 2 7 which means that his bone marrow is responding to the anemia appropriately the broad differential here would be medication induced hypothyroidism vitamin b12 folate deficiency lead poisoning alcoholism and hemolysis due to ssd sickle cell disease or liver disease since he has transaminitis and elevated bilirubin elevated ldh lactate dehydrogenase elevated reticulocyte count and low haptoglobin are indicators of hemolysis he has splenomegaly as well which again favors either a chronic liver disease or most likely hemolysis however the only tricky portion is his low wbc white blood count i do not think that it is a bone marrow process it is more like peripheral destruction or nutritional deficiency i do see that the vitamin b12 is very low at 209 and he has a normal g6pd level glucose 6 phosphate dehydrogenase i also reviewed that his bm was normal and his electrophoresis does not comment upon the sickle cell s or c disease please mention whether he had any additional testing or work up for hemolytic anemia i would like to know if he had a tsh done why is he taking medications all of them including prednisolone azathioprine rituximab and mycophenolate why is he not taking the vitamin b12 and vitamin d these medications are toxic to bm and should not be used without a concrete diagnosis revert back with the answers to the above questions to an internal medicine physician online   > <link>
how does bipolar disorder affect someone over time,bipolar disorder usually lasts a lifetime episodes of mania and depression typically come back over time between episodes many people with bipolar disorder are free of symptoms but some people may have lingering symptoms doctors usually diagnose mental disorders using guidelines from the diagnostic and statistical manual of mental disorders or dsm according to the dsm there are four basic types of bipolar disorder bipolar i disorder is mainly defined by manic or mixed episodes that last at least seven days or by manic symptoms that are so severe that the person needs immediate hospital care usually the person also has depressive episodes typically lasting at least two weeks the symptoms of mania or depression must be a major change from the person is normal behavior bipolar ii disorder is defined by a pattern of depressive episodes shifting back and forth with hypomanic episodes but no full blown manic or mixed episodes bipolar disorder not otherwise specified bp nos is diagnosed when a person has symptoms of the illness that do not meet diagnostic criteria for either bipolar i or ii the symptoms may not last long enough or the person may have too few symptoms to be diagnosed with bipolar i or ii however the symptoms are clearly out of the person is normal range of behavior cyclothymic disorder or cyclothymia is a mild form of bipolar disorder people who have cyclothymia have episodes of hypomania that shift back and forth with mild depression for at least two years however the symptoms do not meet the diagnostic requirements for any other type of bipolar disorder some people may be diagnosed with rapid cycling bipolar disorder this is when a person has four or more episodes of major depression mania hypomania or mixed symptoms within a year some people experience more than one episode in a week or even within one day rapid cycling seems to be more common in people who have severe bipolar disorder and may be more common in people who have their first episode at a younger age one study found that people with rapid cycling had their first episode about four years earlier during mid to late teen years than people without rapid cycling bipolar disorder rapid cycling affects more women than men bipolar disorder tends to worsen if it is not treated over time a person may suffer more frequent and more severe episodes than when the illness first appeared also delays in getting the correct diagnosis and treatment make a person more likely to experience personal social and work related problems proper diagnosis and treatment helps people with bipolar disorder lead healthy and productive lives in most cases treatment can help reduce the frequency and severity of episodes
is it o k to drink pee  it does not taste bad i do not plan to do this much longer i know it is a weird question but i would appreciate some response,i see the survivor people on television do it all of the time and there are a few urine drinking zealots out there who feel that the practice is somehow beneficial personally i am not sure why anyone would do this unless they were in the desert or stranded in a lifeboat dying of thrist is it okay to do it urine tends to be sterile and primarily water with some mineral sediment so it would not be harmful just unusual i heard from a natural doctor that it is even a healthy thing once in a while to drink your pee [i am just not sure why ]
i started taking doxycycline last week for acne and it caused me to menstruate why is that happening,this common antibiotic will not cause your menses to start or be altered this is most likely just a coincidence but it is always best to discuss this with your medical provider
i had tummy tuck 2 years ago now need cholecystectomy,no complications and do not worry it can be done by laporoscopic methods with a small incision
i had sex with my gf on friday she was suppose to start her period yesterday and did not can she get pregnant that fast,you get prego the moment the sperm fertilizes the egg but it takes two weeks to show on a preganacy test according to my doctor she may only be late
my 8 year old is suffering from amoebiasis looking for better treatment,hi鈥etronidazole is the mainstay of therapy for invasive amebiasis tinidazole is also used if flagyl is not getting results i think you did the best until now for treating him with pharmacological therapy other wise you must consult a git surgeon for a surgical treatment choice鈥
can i get hiv by using infected towel,hi it is not possible to be transmitted through this means exchange of body fluids between people and blood transmission are the only ways through which it can get transmitted
what is conventional medicine for a hernia,your doctor may manually press your hernia back into place and advise you to wear a special belt known as a truss that holds a hernia in place until surgery over the counter pain relievers can help ease discomfort hernia surgery is performed under either local or general anesthesia the surgeon repositions the herniated tissue and if strangulation has occurred removes the oxygen starved part of the organ the damaged muscle wall will frequently be repaired with synthetic mesh or tissue increasingly herniorrhaphy is being performed using a laparoscope a thin telescope like instrument that requires smaller incisions and involves a shorter recovery period and less post operative pain hernia repairs are usually performed as an outpatient procedure there are usually no dietary restrictions and work and regular activity may usually be resumed in one or two weeks complete recovery takes three to four weeks with no heavy lifting for two to three months hernias may return in less then 5 of cases after surgery so preventive measures are especially important to avoid a recurrence 
what is white matter brain disease how is white matter brain disease discovered how is it treated i am a 58 year old female and have had mri and cat scans the nuerologist wants to do a lumbar draw for further study and i am not sure if that is necessary,i am sorry you are going through this certainly a lumbar puncture is nobody is idea of a good time white matter brain disease is not a single diagnosis actually there are several diseases that affect the white matter of the brain i suspect your neurologist is trying to determine if you have one of those diseases or not i would suggest you discuss your concerns about the lumbar draw with your neurologist ask him why he feels it is necessary and what he is trying to learn from it ask him if there are other non invasive tests that could be done instead do not be afraid to express your fears or concerns with him or her you are the patient and you deserve to have all your questions answered i wish you all the best with this
hey have a sinus infection am i better off with amoxicillin 875mg or amox clav 500mg,hey you are better off seeing a medical provider first so you can be properly examined diagnosed and treated most sinus infections assuming you have self diagnosed correctly are viral and do not require any antibiotics if there is a bacterial component you may need to treat for more days have from leftover prescriptions not treating an infection completely encouraged resistant organisms so it is entirely possible that neither one of those antibiotics would be appropriate
i am a 22 year old male and i dont have facial hairs am i normal or am i having low levels of testosterone  i am 22 i have hairs growing all the other parts of the body like armpits pubic area stomach but do not have hairs on my chest and face and i also have enlarged breasts as i am little overweight but i do not have any problem with my sex drive or erections is it due to low levels of testosterone,my friend had the same issue once the doctor tested his testosterone adnd figured it was really low he was given cream to rub onto legs and then later on injections but he then started growing a mustache and hair on chest which is somethin he didnt have before low testosterone also makes one feel super low on energy for everyday life and also low sex drive and interest hope this helps
having trouble swallowing diagnosed oral thrush taking nystatin,try to strengthen ur immunity eat well take multivitamins
should i take probiotics along with my prescribed bactrim for my uti,that is really up to you bactrim alone is sufficient to cure a uti that has been properly diagnosed and the urine culture shows an infection that is susceptible to the bacteria that is causing it
does yeast infection make the hair covered pubic area red itchy burning and feel like something is crawling around  i went to my doctor to check why i felt itchy it is not all the time sometimes it stops and then comes back she checked for pubic lice but did not see any bite marks or eggs she said she found some discharge and gave me yeast infection cream  i do not have burning inside of vagina and very little discharge later at home i found something attached to the hair do pubic lice lay red eggs,hi here is a link for m the uk is nhs lots of info about lice how to treat and so on <link> just copy link into google to the www to open and read for a start get shaved get those pubic hairs off just shave downwards all the time no hairs no hiding place do hope this helps you good luck
what can be done to prevent a hernia,most of the factors that lead to the development of hernias are beyond the control of the individual some of those factors are inherited and develop as the individual grows the arrangement of the local tissues and their thickness and strength may greatly affect the relative risk of developing a hernia over a lifetime however that risk can be increased by failure to use good body mechanics when lifting poor abdominal support posture and weight control problems
i woke up to numbness and tingles from the waist down it is been almost a week now,this is sciatica radiating from lumber disc l45 l5s1 you should see an orthopedic doctor to confirm i advise you to see a physical therapist yet it could just be that you caught a cold in your lumber area cause the timing of the pain is in the morning together with your young age
28 wks pregnant and have extreme muscle weakness can only be active for a short time before i have to sit or lay down second pregnancy the first i was very active and had plenty of energy this seems like more than just fatigue,hi its best you go see your doctor asap good luck
i found a little bit of blood in my stool could i have colorectal cancer,the earliest sign of colorectal cancer may be bleeding but if you find blood in your stool do not panic a number of different illnesses can cause bleeding not just colon cancer if you find blood in your stool see your doctor so that a correct diagnosis can be made and proper treatment received other symptoms to look out for if you suspect colon cancer include change in bowel habits constipation or diarrhea unusual stomach or gas pains very narrow stool a feeling that the bowel has not emptied completely after passing stool unexplained weight loss fatigue
i have been feeling extremely exhausted and unable to do basic tasks need advice,hi christy you have done almost all the liver function tests and i do not feel any need to do any other tests you are right that iron supplements can cause problems in chronic cases that is why you should stress more on dietary supplements that are rich in iron like dates dry fruits green leafy vegetables beet root etc taking iron and folic acid tablets once a day for atleast 3 months will help later you can get the tests repeated to assess the degree of improvement thanks
i have a big headache and i am pregnant what over the counter medicine can i take that will be safe,currently the only safe over the counter medication for the treatment of headaches during pregnancy is tylenol acetaminophen make sure you are using a product that only contains tylenol acetaminophen and not other ingredients remember to follow the directions according to the labeled product or as your health care provider advises if this medication is not working consult your ob gyn to find a medication that is effective but still safe for your unborn baby
what does doctors do to check and see if your tonsils are swollen  my tonsils are really swollen and i am not doing another throat swab,all the doctor needs to do is just look in your mouth the tonsils are easily visible a decision to do a throat swab is really based on your medical history an the appearance of your throattonsils
i am currently 98 days late for my period 6 negative hpts with hormonal symptoms could i still be pregnant  my last cycle was 01192014 my fiance and i are not currently using any methods of birth control i do have some symptoms sore and tender breasts  especially close to the nipple nausea in the morning  but i have had a similar issue in the past from stress newer symptoms have occurred lower abdomen discomfort almost like a sore muscle and it hurts to lay on my stomach for long periods of time i have also had strange bouts of dizziness could i be pregnant,for some people a urine test stick does not always work the hcg hormone or pregnancy hormone may not be prevelant enough for the pee test to work i had a friend who had this problem she tried a pee test after she was knowingly several months pregnant and still came back with several false pee test you will have to go to your doctor and have a blood test done to confirm wether or not you are pregnant for whatever reason you may be one that a home pregnancy test might not work your other symptoms could be pregnancy related but if not your doctor should be able to help you figure out what may be causing your symptoms good luck
can you take nasacort and claritin together,yes these two allergy medications are frequently used together
i started having a burning uncomfortable pain in my right flank area,in my opinion your stress is an indicator of an ibs so gases or bloating can cause frequent pain in the both flanks gall bladder could not cause cancer also the size of the stones matters so you should specify their dimensions
if i choose a bronze plan but decide later to switch to a silver plan do i have to wait a year,you can switch if you have a life changing event  but otherwise no you cannot switch you have to wait until the open enrollment period
can the appendix grow back  i have had my appendix removed back in 1989 i have had several scans ultrasounds over the past few years that have indicated my appendix looked good how can that be if it was removed is it possible it has grown back,well that is quite interesting is not it the appendix is not an organ capable of growing back in fact the appendix is not an organ at all it is an anatomical structure a tubelike sac that hangs off the large intestine where that structure meets the small intestine doctors and scientists are still debating what function if any the appendix performs so to your question first i would ask if you are positive your appendix was removed in other words was it taken out due to a case of appendicitis or was it removed in conjunction with another operation sometimes for example a surgeon will remove the appendix at the same time the gallbladder or an ovary is removed if that is the case maybe you were misinformed about whether it really was removed or not if you are positive the appendix was removed then i would say someone is misreading the ultrasound image it is possible they are seeing some fleshy tissue or fatty tissue and identifying it as the appendix hope this helps
which cosmetic filler is best for me,the most commonly used fillers are made out of hyaluronic acid because of their varying consistency they are used differently prevelle silk is the thinnest of the hyaluronic acid fillers it gives a soft subtle effect that is very natural it is my personal favorite for treating the area around the lips the effects usually last 3 to 4months juvederm is slightly thicker it works well on marionette lines that just beginning to show smile lines and to smooth the contours of jaws that are beginning to sag juvederm usually lasts around 6 8 months although in the lips it does not last as long because the constant movement of the mouth breaks down the filler restylane is one of the older fillers around while many doctors still use it i personally prefer to use juvederm or perlane because i find they give smoother results perlane is the thickest of the hyaluronic acid fillers it is best for deep folds like really pronounced marionette lines or the creases that run down from the nose and around the mouth this is the one people start asking for once they hit forty it lasts for about a year perlane does tend to leave the skin slightly swollen for a couple of days so plan accordingly ifyou have a big event coming up radiesse is a totally different filler in the first place it is made out of calcium it has a firmer consistency which makes it ideal to model cheekbones or jawlines or to fill in very deep marionette lines the problem some doctors have with radiesse is that because it takes so long to dissolve 鈥 up to a year in most cases 鈥 it is very hard to correct mistakes unsatisfactory radiesse results however are there to stay for the next 12 months
so i am 28 year old female who wants to get pregnant next year can i take pre natal vitamins now or should i wait also i am on a med for my stomach right now at night should i stop taking those soon after we start trying,prenatal vitamins are fine to take even if you are not pregnant or wanting to be vitamins are not a substitute for good nutrition and regular exercise so please do this as well you did not mention the name of the stomach med you were taking so i do not know how to advise you for that part of your question but if you are not going to attempt to conceive until next year you can problem keep taking the stomach medication until that time ask your doctor for specific advice
can cancer risk be reduced in celiac disease,some doctors believe that strict adherence to a gluten free diet can reduce the risk of cancer in individuals with celiac disease but further studies are needed to prove this until more is known in this area persons with celiac disease should adhere strictly to a gluten free diet
whats the difference between norco and vicodin when they are both named hydrocodoneacetaminophen  i think it was an error on the part of either a nurse or the doctor but after being discharged my prescription list read hydrocodoneacetaminophen 5500 vicodin and the second one read hydrocodoneacetaminophen 5 325 norco so i am confused am i supposed to take them or is it a mistake because they both named the same somebody let me know if they made a mistake i do not feel like getting addicted or overdosing if its the same drug they game it for my back pain,the only difference between these medications is the name hydrocodone is hydrocodone they may contain different levels of apap but essentially hydrocodone is the main ingredient that changes the brain receptors people that say they feel different with the 2 medications are brainwashed into thinking that the 2 are different
our cobra runs out for us on december 13 what do we do  my wife has a medical condition which i have been told will not be covered until january 1 do we try to find a policy that will cover the two of us or should we look for two policies    one for her and one for me i am 57 and she is 56 neither of us have health coverage via our employers,go right away onto healthcare gov to shop for a plan if you buy one by december 23rd it will take effect by the first of the year i realize it is not ideal but that is only about 2 weeks with a gap in coverage after that you will enjoy continued insurance coverage
popped knee 7 years ago got worse how to reduce swelling and pain,hi it seems that the 7 years old knee injury that you had has not healed completely till date it may have been a ligament injury and such injuries if not treated adequately at that stage will give lifelong problems the knee seems to have accumulated fluid now effusion it will go away by leg elevation compression bandage analgesics fibrinolytic and anti inflammatory tablets local gels with hot fomentation will help even if it heals i suggest you should get an mri of knee done to prevent any further damage thanks
can you wrap poison ivy in gauze so not to spread its on both arms and its hard to not touch it on things can it be wrapped at night while i sleep and for how long can it be wrapped,poison ivy on the skin is not contagious it will not spread from one area to another even it if is touched nor will it spread to another person it can seem to spread since areas with more exposure out first and areas that were lightly exposed may break out days later assuming that the skin has be washed to remove the original plant oil it will not spead it is the plant oil that is the problem not any oozing from the skin lesions it does not need to be wrapped but you can cover it lightly to keep the drainage contained
can a person have no friends i have no one but my husband & 2 grown children i was bullied as a teenager and i am 60  i am not a bad person i do not get invited places and i have no best girlfriend to confide in i am not sure how i got to this place i see women at work who talk go for walks have lunch but if i volunteer i am told they have enough sometimes i cry and other times i just ask myself what have i done wrong the last time i had a best friend was about 30 yrs ago i try not to feel sorry for myself i am a normal 60 yr old who somehow ended up with no friends and it sucks i am not dirty either,i am sorry you are going through this distress women do value relationships with others so it can be very upsetting to suddenly discover you do not have many friends the first thing i want to emphasize is that there is nothing wrong with you that is causing you not to have many or any friends right now you sound like a very nice person consider that the other women in your office are missing out by not accepting your gestures of friendship because this is bothering you so much i would like to suggest two things the first is to get some counseling so you can express your unhappiness in a safe environment you need to vent this sadness in order to deal with it constructively the second thing i would like to suggest is that you look for other places to interact with people and find friends volunteering for a charitable organization getting involved with church activities if you attend church and taking up a new hobby such as taking a class at a community center or hobby store are all ways to find people who share your interests and values then all you have to do is make a friendly gesture to see if it is returned if so you have made a new friend age 60 should be a time of joy in life i hope you are able to work through your unhappiness and take some positive steps to find friends best wishes to you
i have discharge from my eyes spreading throughout my body,hi you should do general autoimmune disease tests also check blood electrolytes and glucose from there you can know your next step which can be parathyroid gland problems diabetes ra or even normal hormonal unbalance at your age can not rule out depression please list any medications you are on good luck
i got married about 2 months ago my husband is behavior prior to the wedding was a bit odd dancing around signing a pre nup secretive about his business and business ventures being adversarial i thought much of it was jitters two days after the honeymoon i found out from a family friend that my husband lied to me about his college education  he never graduated  although he told me he was an honors grad from columbia at first he denied it and tried to convince me that i was crazy and he never told me he graduated when i showed him a copy of the wedding announcement he typed up for himself stating he graduated magna cum laude from columbia he verbally assaulted me and refused to speak to me interact etc i just feel that his credibility is shot he is an entrepreneur who was rarely employed by others so checking his history is difficult we went to a couples counselor who felt that my request to see written proof of his financial status and prior businesses was reasonable but my husband does not feel compelled to come clean or make any attempt to help rebuild the broken trust is there anything else i can do i fear there may be some real pathology here,according to your description your husband doesn芒聙聶t seem to me to be a pathological liar but more like a real cheater a pathological liar lies and then believes in hisher own lies as truth with no calculated benefit from his lies it seems that your husband did experience a benefit from his lies because he succeeded in marrying you no matter if he likes to discuss it or not you can ask for a divorce
is stress causes acne  one of my friend told me that acne is caused by stress is it really true or not  tell me the causes of acne so that i can clear it that stress is a cause or not,most helpful answer stress can make any illness or condition seem worse but stress is not a direct cause of acne acne is basically caused by hormones that result in oily skin clogged pores and a proliferation of acne causing bacteria
i ended up in accident & emergency with tonsillitis should i have surgery,according to history i suggest you to go for surgery as frequency of tonsillitis is high
is it ok to have a tb skin test while pregnant,yes we will test for tb any time we need to it is a killed part of the tb so it is safe to get during pregnancy
i had a motor nerve conduction study that according to my doctor is clean need second opinion,hi amplitude in non dominant hand is kinda irrelevant we usually focus on delay so you are okay if there is no delay good luck
i am 31 years old i have been diagnosed with digital papillary carcinoma what are the treatments,in my opinion you should not wait early intervention with surgical excision is necessary and then you will need to get radiation and chemotherapy for some time to confirm the end of the growth of the tumor if you are at the early stages then it is treatable feel better soon
what is a good otc hormone treatment therapy,well the first thing you need to know is that real hormones estrogen testosterone thyroid and all the many others are a controlled substance that can only be obtained by prescription i am going to assume you are talking about female hormone replacement you can not get that over the counter what you can get are preparations that claim to relieve the symptoms of menopause these over the counter hormone replacement alternative remedies may or may not be effective at relieving your symptoms some women swear by them while others do not get much relief assuming you are not allergic to any medications or supplements you certainly can try one of those products to see if it helps relieve your symptoms if you want real female hormone replacement therapy hrt you will have to talk with your health care provider he or she can explain the risks and benefits of hrt and help you get on an appropriate dose of the medication hope this helps
when taking aspirin as a blod thinner should it be taken in the morning before or after breakfast,this is a good question i am glad you asked first i want to caution you that no one should put themselves on low dose aspirin therapy without consulting a physician many people have heard that taking a daily aspirin may be good for their heart or for helping prevent colon cancer but taking a daily aspirin should only be done on doctor is orders so please if your health care provider did not tell you take a daily aspirin consult your provider before you begin self treating many people in fact should not take aspirin at all your health care provider who knows your complete medical history is the person in the best position to advise you whether or not taking a daily aspirin is right for you as to your question it really should not matter if you take aspirin with food or on an empty stomach if you are prone to stomach upset when taking aspirin in the past then you can take it with food hope this helps
doc asked my girlfriend to get hpv vaccinations which cost 1000 does she need them  does she need the 1000 vaccinations  she is 17 is sexually active with only me i have had around 5 10 sexual partners but none in the past 6 months we have unprotected sex but she uses a contraceptive pill around once a day does she need the hpv vaccination does it actually protect against cancer,yes and yes the hpv vaccine covered my all insurances incidentally does prevent most strains of cervical cancer because of your past sexual experiences statistically there is a good chance that you have already contracted hpv yourself and may have already exposed your current girlfriend in the outside chance that she has not be exposed to hpv the vaccine would offer here excellent protection by the way should you should be vaccinated too i was probably vaccinated i did not check but i have all my vaccinations for sure i will tell her to get it but to make sure insurance covers it thank you
i have had a uti for about 3 months i am tired and very sore all the time should i be going to a doctor right away  i am 29 years old i have a history of high blood pressure and had gestational diabetes i recently have lost about 70 pounds over the course of a year,hi if you knew your had a uti then you should have gone a couple of days after you knew you had it so yes go asap good luck
4 year old girl with delayed milestones speech and convulsions what can we do,hi a permanent damage to the brain cells has triggered these symptoms convulsions can be taken care of by tegretal or similar anti convulsants most of the times these medicines have to be taken for a lifetime as the age progresses the symptoms will definitely show improvements speech therapy and physical co ordination exercises will help thanks
no allergy to shellfish ct scan wcontrast mild reaction of hives would there be allergic reaction to shell fish now,it is possible that you may have an allergy to shellfish now be very careful if you eat them make sure your health care providers are aware of you reaction to the dye
what happens if you cut off a cancerous mole yourself,cutting off a cancerous mole yourself would not be wise you would have both a fool for a patient and a doctor unless you get wide margins only determined by a proper pathological examination and those margins are cancer free this could cause some skin cancers to quickly spread please leave the cancerous mole excisions to the experts
why do i still get morning coughs a year after quitting smoking no phlem wakes me up at night night and morning only,good for you for quitting smoking that is a true achievement to be proud of in terms of the persistent cough one year later that is a good question and i would advise you to take it up with your primary care provider physician nurse practitioner or physician assistant several possible explanations for the coughing come to mind first depending on how long you smoked you may have permanently damaged your lungs which results in their inability to clear mucus although you are not coughing up any phlegm it could still be residing down there in your lungs and triggering a coughing response second smoking damages more than just the lungs again depending on how long and how much you smoked you may have damaged your heart muscle if the heart cannot contract with enough force to move blood through the lungs properly it causes congestion to occur this congestion can cause a dry hacking cough   especially when you are lying down i think you definitely should see your health care provider for an exam the cause of the cough may be highly treatable if caught in time best wishes to you
is there any otc medications that can be taken for severe itching caused by primary biliary cirrhosis that really works  my insurance company is trying to deny my dr  is recommended treatment by not covering the prescription medication that he gave me they recommended me to take zyrtek over the counter instead i have been trying benadryl and everything else like that in the over the counter stuff already it has not been effective for me and i am miserable the name of the medicine i was prescribed is atarax and it could have even been filled in generic form my pharmacist told me that it is not even expensive,you need to first check to see if the medication is on your formulary or list of drugs your insurer does cover even if it is however insurers can require you to try a less expensive drug first to see if it works if it does not    and that sounds like that is the case here    your doctor should then contact your insurer to provide information as to why you need the medication he initially prescribed and how efforts to treat you with over the counter medications have failed if that does not work you can officially appeal your insurer is decision in an effort to have the medication covered you are entitled to at least two levels of appeals and your insurer is required to provide you with information about how to engage in that process
what is the prognosis for a 98 year old 110 pound female with a borken shoulder and hip,a medical provider cannot offer a patient specific prognosis without knowing the patient and the particular case not all 98 year olds are the same and not all fractures are identical only her doctor could offer you that prognosis
do i still have kidney stones  i had surgery 2 months ago to remove 2 stones and a stent im still in a lot of pain in the same area as before my urine seems to be clear although after i urinate i find blood on the toliet tissue but not in the urine i have also noticed some tissue in my urine im in alot of pain an need answers please,this is an issue that only your urologist can or should answer anytime that you see blood in the toilet it can only be from about two sources the urine or the bowels since you recently had surgery for kidney stones you are likely to form more so another ct scan of the kidney may be in your future especially since you are in pain even tiny kidneys stones can cause severe pain if they are lodge in the ureter so it would be best not to ignore these symptoms and consult your urologist if you cannot see your urologist quickly then an emergency room visit is appropriate they will most likely order an immediate ct scan of the kidney with your history and symptoms i have been there and done that stent and all so my heart goes out to you it feels as if it is trying to pass my stone in the last 3  in my ureter when attempting to squeeze out the last amount of urine it hurt a bit and some blood came out is this normal during the passing process
is there any long term side effects from childrens zyrtec,i have never seen any i consider zyrtec a very safe medication for long term use in children
i am on day 3 of a cold today the white area of my eye is red and a little runny can my cold go to my eye  i have been taking zicam since monday and it usually helps but today my head and sinuses are so full the redness in the eye is significant enough so others notice it should i stay home from work tomorrow and should i call the dr,better to visit your doctor viral infection can lead to runny nose heaviness in head and even redness of eyes you should definitely take rest as it will help to recover fast you can try with mild steam inhalation to relieve sinus congestion take ginger and amla juice 2 tsp with honey to reduce the severity of cold
am i pregnant  so i had unprotected sex with my boyfriend one day before my period started he did not ejaculate in me and usually my period lasts about 5 7 days and my cycle is about 27 days on average is it still possible for me to become pregnant,yes becuse even though he did not cum inside of you its still a chance that pre cum can get unto your canals and there still is a risk of you getting preagnant if i were you i would wait and then take a test or see a doctor that is the best way to determine anything dont ever diagnose yourself hoppe this helped
chronic nausea and vomiting only after eating what can that be  for 2 3 months ive had chronic vomiting and nausea that only occur after eating when i eat i start feeling nauseous after only some of bites and the nausea keeps increasing as i eat more i dont always vomit but ive had two hyperemesis cases where i had to go to the er to get iv therapy and anti nausea medicine most dont even work these cases lasted for about 12 hours each when the nausea symptoms started to fade away i have also done blood urine and ct tests which didnt show anything,hi when you was in the er did they check you out for appendicitis not all cases have the classic signs would be a good place to start from so its either back to your er or see your doctor asap do hope this helps you good luck
can a female human get pregnant from a horse  i do not think i am pregnant with a horse is baby but could this even happen,my baby mother is a parrot and humans can get animals prego because animals are real mothafukkas
can crestor or another statin andor warfarin raise blood sugar levels overnight,no it is unlikely that your cholesterol medication or warfarin would raise blood sugar levels if you suddenly notice a change in your blood sugar levels you should contact your health care professional i would not worry too much if it happens only one time but if it becomes consistent talk to your health care professional
how to maintain weight with light exercise i recently lost 30 pounds through eating about 1360 calories a day and exercising lightly or moderately for 30 minutes each day i want to increase my caloric intake to avoid losing more weight but to lose remaining stomach fat is my activity level adequate enough to maintain weight with higher calories eaten per day  i am an 18 year old female and have not previously been active and my schooling prevents me from being able to do longer workouts,its as easy as stepping into a swiimming pool  water no higher than shoulder blades but 1st pick up 2 cheap starfoam blocks that is velcrowed around your ankles as you just walk around and maybe a small ball you can push in front as you walk this takes the gravity out of getting a good workout i say you will be up to 40 min 3 4 day a week i have had 3 back surgeries ending in nerve damage and it was the only thing that gave me great work out and didnt injur me 4 star advice good luck
should medical marijuana be used to treat anxiety disorder,order 100 legit n safe medical marijuana pain relievers cbd oils dabs and more for more info text 505 807 7504 lisanblakeretailshop@gmail com medical marijuana is good for your health top medical strains for all patients suffering from depression glaucoma anxiety and tension headaches chronic pain and nausea mental and physical fatigue and for calming aromatherapy then you are in the right place to look in our meds all top grade aa+ with high level of cbd and thc contact for your supply and good health pain killers medical marijuana act lean *** no prescribtion is needed bud seeds harsh oils dabs & other m m treatments we also sefely and securely deliver all sorts of generic medication and syrup nationwide at very good prices no prescribtions needed legit verified and reputed plug available in the u s canada australia and the uk for more info text 505 807 7504 lisanblakeretailshop@gmail com thank you
i have the flu over and over again its been 3 years,hi this seems to be a chronic inflammatory disease associated with low immunity this may be related to hormonal disturbances as well get thyroid  parathyroid and ana with crps done take immune boosters and vitamin supplements thanks
how do steroid shots help with fibromyalgia pain,steroid shots can help fibro pain for several reasons 1 they reduce pain in the inflamed areas from conditions other than fibro thus one feels better overall  2 they calm down these inflamed areas thus reducing the signals that were aggravating the fibro in the immediate areas and even the overall body so indirectly the steroids calmed the fibro 3 they may directly calm down the fibro flare up perhaps by combined analgesic anti inflammatory and adrenal mechanisms involving fm 
how can i use fresh cranberries,鈥榯is the season i love that this is the time of year for one of the most powerful antioxidants we can eat the great news for us is that in november and december most grocery stores carry fresh and organic cranberries the age old jelly out of a can that is traditionally served at thanksgiving does not hold a candle to the different varieties of things you can do with fresh ingredients whole cranberries are extremely tart so you will need to sweeten them i usually use agave nectar but you can use brown sugar honey or regular sugar depending on the amount in the morning you can add some frozen or fresh whole berries into a smoothie for a tart and unusual flavor blend with strawberry blueberries or raspberries these berries are also excellent to add to a high fiber muffin  take the fresh cranberries into lunch and dinner by using as a spread on a turkey sandwich or served with grilled chicken a simple cooked sauce made with juice and zest of an orange agave nectar and cranberries can be chilled and served with brie cheese for an appetizer another great use for fresh cranberries is baked in a dessert with apples or pears the combination of color texture and taste is fantastic again you may have to add a tablespoon of extra agave or sugar to balance out the tartness of the cranberry one of my favorite and more unusual recipes made with fresh cranberries is my cranberry balsamic and mint relish this takes only minutes to make in your food processor you put fresh cranberries orange zest brown sugar fresh ginger mint and balsamic vinegar pulse it and store for up to one week this mix is great on your holiday buffet for turkey but it is also a surprisingly delicious mix for a holiday martini  so the next time you are at the store take a walk through the produce aisle for a few extra seconds and pick yourself up this antioxidant treat
an x ray of my hand showed tendinitis and atherosclerotic calcification what should i do,do you have hemodialysis or diabetes also you should have your parathyroid gland and hormones checked also have your kidneys checked treatment include drugs lowering circulating levels of calcium and phosphate also surgery is performedhope i helped good luck
